"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 14:49:49 GMT 2021","Mon Jul 26 14:49:59 GMT 2021","9173","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Mon Jul 26 14:50:11 GMT 2021","Mon Jul 26 14:50:17 GMT 2021","6886","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Mon Jul 26 14:50:32 GMT 2021","Mon Jul 26 14:50:40 GMT 2021","7954","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Mon Jul 26 14:48:51 GMT 2021","Mon Jul 26 14:49:49 GMT 2021","58149","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"failed","Mon Jul 26 14:51:12 GMT 2021","Mon Jul 26 14:51:30 GMT 2021","18417","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Mon Jul 26 14:50:51 GMT 2021","Mon Jul 26 14:50:58 GMT 2021","7026","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Mon Jul 26 14:50:17 GMT 2021","Mon Jul 26 14:50:23 GMT 2021","5664","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Mon Jul 26 14:50:58 GMT 2021","Mon Jul 26 14:51:12 GMT 2021","13162","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"failed","Mon Jul 26 14:50:23 GMT 2021","Mon Jul 26 14:50:32 GMT 2021","8970","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Mon Jul 26 14:49:59 GMT 2021","Mon Jul 26 14:50:11 GMT 2021","12014","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Mon Jul 26 14:50:40 GMT 2021","Mon Jul 26 14:50:51 GMT 2021","11297","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
